doc_id,domain,model,population,token_count,half_life,ppl_W4,ppl_W8,ppl_W12,ppl_W16,ppl_W24,ppl_W32,ppl_W48,ppl_W64,ppl_W96,ppl_W128,delta_max,auc_full,log_slope,auc_early,auc_late,early_fraction,measuring_model
uniform_010,uniform,uniform,uniform,353,18.968340950251573,246882.2217003188,205894.47260698487,193996.4692417857,197884.04522201876,164703.9274400446,159874.25150884362,159399.14264205497,146799.8534441788,130842.03459008019,124263.39315711767,122618.82854320113,11847898.4087556,33213.1281625696,1674941.2999253627,1820191.9704486192,0.14137032933094537,mistral-7b-inst
uniform_011,uniform,uniform,uniform,508,26.26938071726981,367502.0320414115,363152.9466274149,303162.3681732522,284794.6888154215,270341.28983648645,239167.79002864024,247127.26606899567,208360.2453783577,187004.67375916048,155494.4127931263,212007.6192482852,18001732.40675376,61608.59359924861,2061621.9621750491,3620023.2113526696,0.11452353115756707,mistral-7b-inst
uniform_012,uniform,uniform,uniform,394,21.656392517837382,210960.1650018873,218305.512387512,186726.59994611103,211798.97171210137,175500.43936633883,187934.58071775388,185894.857003937,183512.7970137473,160350.77649639372,161308.09173005307,49652.07327183423,4096220.211121018,15379.86832857402,438300.1726402434,1447463.9472039659,0.10700112544005373,mistral-7b-inst
uniform_013,uniform,uniform,uniform,305,11.887203065397918,243477.00403840403,225794.58576099115,196222.395966117,160988.3532982132,185342.4209861331,174718.7015109207,170354.1732080449,173251.57362786165,147969.56722764304,150635.61407299634,92841.3899654077,9441932.14511755,24894.372078380085,1494789.8843680455,1346345.218111106,0.15831398292149407,mistral-7b-inst
uniform_014,uniform,uniform,uniform,3014,15.475247147814947,269805.4301710052,243597.8063202422,284512.294501619,178928.5894298995,159794.96846979996,133464.03257213245,151835.8915251042,135464.95537990166,126314.20568900844,115754.42387911888,154051.00629188633,15275663.844738323,50094.18285428736,2016713.366532364,170176.3087141763,0.13202132405047767,mistral-7b-inst
uniform_015,uniform,uniform,uniform,388,9.90584709004403,334780.4285432964,279615.4750520782,238575.35092142364,235752.0071345389,227029.96714095867,209084.97593723153,173595.66800071948,171031.52489478886,181791.38627273933,185342.4209861331,149438.0075571633,17365587.10521424,43598.90963809728,2564436.15454787,2734387.5004841425,0.14767344973772098,mistral-7b-inst
uniform_016,uniform,uniform,uniform,1069,27.042609477843005,247556.67910799387,241432.5068070291,240357.08539622847,233772.37736300813,241432.5068070291,167837.909502685,171456.23668300713,134360.76403124304,163239.90221215982,179328.42968700523,68228.24942098864,8865717.380236574,31551.20490807415,503869.3313497887,708846.1667771358,0.05683345292204018,mistral-7b-inst
uniform_017,uniform,uniform,uniform,425,7.863455801860669,260727.25990649976,212641.11363347727,235401.44659377728,193515.92336632722,186726.59994611103,176373.1399065036,153806.77425460477,164703.9274400446,141509.0635851022,167837.909502685,92889.35040381475,11617670.21563808,30517.185226865477,1626337.6172671097,1893337.0783713404,0.13998827536677377,mistral-7b-inst
uniform_018,uniform,uniform,uniform,257,10.808305204495763,236337.43521037317,200651.6094462564,167173.2057811272,184608.39255741242,138316.7449460523,123771.26155151291,128909.39591986466,124633.77557528894,110865.32202829617,117956.99605664347,118380.43915372969,13173665.190888401,35221.29831503118,1964204.6934412236,403107.8261965944,0.1491008512042473,mistral-7b-inst
uniform_019,uniform,uniform,uniform,458,16.9807347718197,313873.7241905318,260727.25990649976,250086.83888326882,230547.9822535433,185342.4209861331,168087.8542212368,153959.43605275237,192272.06758661647,145711.64604082052,136138.57386291106,177735.15032762077,17447385.989984974,49308.06930662385,2579081.755499481,872860.7174331723,0.14782052491874184,mistral-7b-inst
uniform_020,uniform,uniform,uniform,807,14.24466991686704,229293.45762821808,202551.6105562271,214016.74183323118,166511.1345461084,179195.05042228458,171967.28321038518,141930.84885775688,142990.82041588935,172308.82685832598,145422.8222582922,83870.63536992588,8267972.924600663,23316.52402427743,1174860.1452793693,1589800.0352093352,0.14209772528205447,mistral-7b-inst
uniform_021,uniform,uniform,uniform,368,24.317927738572404,296617.41212116665,255098.43312317884,263980.61525837687,265688.3714506424,248356.14104712463,223011.84346269246,204774.09981699556,220372.68103367276,191890.9536033227,198080.45616890144,98536.95595226521,9978758.850734122,29199.36391003852,1162709.7906924887,1749914.4688281114,0.11651847770696953,mistral-7b-inst
uniform_022,uniform,uniform,uniform,240,11.746986491485242,301213.741635015,274802.9361105675,220810.36248087368,216794.75364629025,196904.90796083005,177602.21606424687,160191.77722683342,158767.8597355817,141930.84885775688,147237.4085706275,153976.3330643875,16487306.136909164,47094.29397488064,2262687.438323256,2357912.2437921683,0.13723815276638252,mistral-7b-inst
uniform_023,uniform,uniform,uniform,597,11.206777289463798,297796.8038591814,282964.12359085644,228498.6804092993,219064.83514464612,214122.927264858,210020.4776280972,216579.78613426798,188027.82536020654,177778.49616498215,180802.17019493235,116994.63366424906,12178049.70710401,33596.7764606364,1829411.3448389643,1922111.0440809627,0.15022202970413115,mistral-7b-inst
uniform_024,uniform,uniform,uniform,272,18.467945073790574,300765.8402430572,257258.65606558972,263326.71265716356,264373.7359828865,184151.10175224877,161949.47494926758,167173.2057811272,145278.62512359963,157044.69326319615,178485.36798371444,122280.47225934273,15565591.737829307,45037.04627955008,2030321.2417160938,208899.4279094122,0.1304364958244261,mistral-7b-inst
uniform_025,uniform,uniform,uniform,328,30.611446278001456,248109.87816096892,249838.85988636024,221798.3266640273,226018.69947536636,253836.197045169,182242.81734542616,178928.5894298995,165031.0453613019,150560.91255502705,141228.56999301666,106881.30816795226,8907931.966879224,34749.80094144176,448535.04338838684,2136159.085198732,0.05035232027546851,mistral-7b-inst
uniform_026,uniform,uniform,uniform,392,14.102354950806255,325608.94365214015,312320.6658915759,291656.8833570769,252329.7552065776,246148.5455049638,222680.2273997339,225347.02478624493,209708.179577687,195348.3555616519,216365.0317779165,109243.91187422365,12801514.71162657,38379.750868117655,1676034.533082921,1244323.418312652,0.13092470468051065,mistral-7b-inst
uniform_027,uniform,uniform,uniform,1228,6.9830785182517054,311238.0996778878,220700.8606916575,219499.91908348646,224009.65765621467,207226.4551095776,162674.07989503533,206303.39893269184,199856.9506475935,177426.11075784604,176198.2533170656,135039.8463608222,14662057.700257968,29791.989287994336,2678821.5661304574,-2278909.7650263268,0.18270433938364092,mistral-7b-inst
uniform_028,uniform,uniform,uniform,348,6.891343518154303,360639.78751146956,248602.64836292397,232385.00828773063,215722.04553034712,234934.8432846718,230319.3774311787,223565.63469439175,202652.10750805147,210855.5480117175,198670.8594766201,161968.92803484946,17769647.877858683,32716.363831181392,3357595.319511418,1901293.1906393406,0.18895114537947852,mistral-7b-inst
uniform_029,uniform,uniform,uniform,288,15.084723607065278,271147.0754996424,240357.08539622847,232154.58192259597,209396.34591090961,214761.14714258132,201749.42701054786,194767.82595814203,154571.6000035182,168672.50703880528,158060.65440534352,113086.42109429889,11041941.85380642,32481.083170001355,1378312.3330671052,3001455.2657862375,0.12482517579930637,mistral-7b-inst
